country,year,sex,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation,population,age,suicides_no
Albania,1987,male,6.71,Albania1987,,"2,15,66,24,900",796,Generation X,312900,15-24 years,21
Albania,1987,male,5.19,Albania1987,,"2,15,66,24,900",796,Silent,308000,35-54 years,16
Albania,1987,female,4.83,Albania1987,,"2,15,66,24,900",796,Generation X,289700,15-24 years,14
Albania,1987,male,4.59,Albania1987,,"2,15,66,24,900",796,G.I. Generation,21800,75+ years,1
Albania,1987,male,3.28,Albania1987,,"2,15,66,24,900",796,Boomers,274300,25-34 years,9
Albania,1987,female,2.81,Albania1987,,"2,15,66,24,900",796,G.I. Generation,35600,75+ years,1
Albania,1987,female,2.15,Albania1987,,"2,15,66,24,900",796,Silent,278800,35-54 years,6
Albania,1987,female,1.56,Albania1987,,"2,15,66,24,900",796,Boomers,257200,25-34 years,4
Albania,1987,male,0.73,Albania1987,,"2,15,66,24,900",796,G.I. Generation,137500,55-74 years,1
Albania,1987,female,0,Albania1987,,"2,15,66,24,900",796,Generation X,311000,5-14 years,0
Albania,1987,female,0,Albania1987,,"2,15,66,24,900",796,G.I. Generation,144600,55-74 years,0
Albania,1987,male,0,Albania1987,,"2,15,66,24,900",796,Generation X,338200,5-14 years,0
Albania,1988,female,5.49,Albania1988,,"2,12,60,00,000",769,G.I. Generation,36400,75+ years,2
Albania,1988,male,5.33,Albania1988,,"2,12,60,00,000",769,Generation X,319200,15-24 years,17
Albania,1988,male,4.48,Albania1988,,"2,12,60,00,000",769,G.I. Generation,22300,75+ years,1
Albania,1988,male,4.46,Albania1988,,"2,12,60,00,000",769,Silent,314100,35-54 years,14
Albania,1988,male,2.85,Albania1988,,"2,12,60,00,000",769,G.I. Generation,140200,55-74 years,4
Albania,1988,female,2.71,Albania1988,,"2,12,60,00,000",769,Generation X,295600,15-24 years,8
Albania,1988,female,2.03,Albania1988,,"2,12,60,00,000",769,G.I. Generation,147500,55-74 years,3
Albania,1988,female,1.91,Albania1988,,"2,12,60,00,000",769,Boomers,262400,25-34 years,5
Albania,1988,male,1.79,Albania1988,,"2,12,60,00,000",769,Boomers,279900,25-34 years,5
Albania,1988,female,1.41,Albania1988,,"2,12,60,00,000",769,Silent,284500,35-54 years,4
Albania,1988,female,0,Albania1988,,"2,12,60,00,000",769,Generation X,317200,5-14 years,0
Albania,1988,male,0,Albania1988,,"2,12,60,00,000",769,Generation X,345000,5-14 years,0
Albania,1989,male,8.89,Albania1989,,"2,33,51,24,988",833,G.I. Generation,22500,75+ years,2
Albania,1989,male,6.35,Albania1989,,"2,33,51,24,988",833,Boomers,283600,25-34 years,18
Albania,1989,male,4.71,Albania1989,,"2,33,51,24,988",833,Silent,318400,35-54 years,15
Albania,1989,male,4.22,Albania1989,,"2,33,51,24,988",833,G.I. Generation,142100,55-74 years,6
Albania,1989,male,3.71,Albania1989,,"2,33,51,24,988",833,Generation X,323500,15-24 years,12
Albania,1989,female,2.43,Albania1989,,"2,33,51,24,988",833,Silent,288600,35-54 years,7
Albania,1989,female,1.67,Albania1989,,"2,33,51,24,988",833,Generation X,299900,15-24 years,5
Albania,1989,female,0.75,Albania1989,,"2,33,51,24,988",833,Boomers,266300,25-34 years,2
Albania,1989,female,0.67,Albania1989,,"2,33,51,24,988",833,G.I. Generation,149600,55-74 years,1
Albania,1989,female,0,Albania1989,,"2,33,51,24,988",833,Generation X,321900,5-14 years,0
Albania,1989,female,0,Albania1989,,"2,33,51,24,988",833,G.I. Generation,37000,75+ years,0
Albania,1989,male,0,Albania1989,,"2,33,51,24,988",833,Generation X,349700,5-14 years,0
Albania,1992,male,3.49,Albania1992,,"70,94,52,584",251,Boomers,343800,35-54 years,12
Albania,1992,male,3.41,Albania1992,,"70,94,52,584",251,Generation X,263700,15-24 years,9
Albania,1992,male,3.13,Albania1992,,"70,94,52,584",251,Silent,159500,55-74 years,5
Albania,1992,male,2.85,Albania1992,,"70,94,52,584",251,Boomers,245500,25-34 years,7
Albania,1992,female,2.39,Albania1992,,"70,94,52,584",251,Generation X,292400,15-24 years,7
Albania,1992,female,1.5,Albania1992,,"70,94,52,584",251,Boomers,267400,25-34 years,4
Albania,1992,female,0.62,Albania1992,,"70,94,52,584",251,Boomers,323100,35-54 years,2
Albania,1992,female,0.61,Albania1992,,"70,94,52,584",251,Silent,164900,55-74 years,1
Albania,1992,female,0,Albania1992,,"70,94,52,584",251,Millenials,336700,5-14 years,0
Albania,1992,female,0,Albania1992,,"70,94,52,584",251,G.I. Generation,38700,75+ years,0
Albania,1992,male,0,Albania1992,,"70,94,52,584",251,Millenials,362900,5-14 years,0
Albania,1992,male,0,Albania1992,,"70,94,52,584",251,G.I. Generation,23900,75+ years,0
Albania,1993,male,7.4,Albania1993,,"1,22,80,71,038",437,Generation X,243300,15-24 years,18
Albania,1993,male,4.24,Albania1993,,"1,22,80,71,038",437,Silent,165000,55-74 years,7
Albania,1993,male,4.13,Albania1993,,"1,22,80,71,038",437,G.I. Generation,24200,75+ years,1
